"lat","lng"
14.1392433,121.3049351
14.313725,121.0102909
13.9095144,121.6230108
10.2593882,123.5843317
15.2337285,120.6710199
15.018125,120.6889523
14.2254757,121.3712554
11.6027373,122.7553658
14.9356005,120.9660387
14.767443,121.0572449
14.3544181,120.935623
-8.564003,116.109447
-8.5350379,116.1028494
-8.5839809,116.1202192
-8.5771957,116.0876858
-8.5482191,116.0711584
-8.5667575,116.0736921
-8.5650521,116.1232221
-8.2322405,116.3023591
-8.5656229,116.1243599
-8.4976566,115.5369021
-8.4994669,115.5368307
-8.4466804,115.6390815
-25.2250048,152.3649843
-1.2275,36.9260185
15.6130896,73.928812
-8.5867625,115.3160851
-8.5507844,115.4483714
-8.6006798,115.3162786
-8.5654198,115.383823
-8.5329846,115.4167134
-8.5480682,115.405386
-8.6286158,115.2919906
-8.5704647,115.3213892
-8.6040029,115.3115185
-8.5585343,115.313415
-8.5182529,115.4019019
-8.5585626,115.4065916
-8.5448952,115.3256886
-8.5638393,115.2978643
-8.5564962,115.2865394
-8.492108,115.4170814
-8.6375205,115.2593182
-8.4265457,115.3457493
-8.5870574,115.3211768
-8.5934601,115.3282734
-8.5947667,115.3281433
