"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Denmark","DNK","Total fisheries production (metric tons)","ER.FSH.PROD.MT","574647","637492","785102","847904","871061","840830","850802","1070415","1466808","1275401","1226500","1400901","1442920","1443661","1835370","1767039","1919197","1806612","1750769","1741256","2032073","1859445","1931373","1870909","1851484","1796989","1849758","1707816","1974414","1929294","1517646","1793244","1997091","1654028","1916208","2043763","1723442","1866549","1599703","1447670","1577698","1552267","1474374","1068993","1133410","949610","904909","684221","726650","812882.4","864264","752305","537375.54","706187.2","779528.2","904879.7","706665","942070","825736","669128.49","775518.62","",
"Dominican Republic","DOM","Total fisheries production (metric tons)","ER.FSH.PROD.MT","1300","1600","1700","3200","4200","4100","3500","3200","4600","4800","5200","4600","5600","9200","6810","5906","7053","4594","5086","7885","10658","12003","13169","12852","13925","17202.9","17289.1","20452","12940","21884","19775","17454","13661","14204","26814","20080","13683","15212","10981","9166","13140","15864","20815","20041","16223","12173","13936","14789","16462","15463","15770","16152.9","14694.8","14763","15962.5","14183","16685","18143.56","16519.45","18731.01","12560.49","",
"Algeria","DZA","Total fisheries production (metric tons)","ER.FSH.PROD.MT","25500","30400","21500","16900","17300","18300","20350","21150","18250","23150","24234","23715","28313","31243","35758","37693","35122","43475","34143","38678","48000","56000","64500","65002","65595.9","66141.6","65511.8","94367.8","106741.3","99555.42","90603.24","79852","95420.91","102199.97","135798.86","106247.67","82317.8","91907.4","92620","102649","113510.9","134082","134800.8","141376","114050.2","126628.3","146051.8","147768.13","141642.34","129940.23","95222.75","104060.63","108187.41","103165.88","100163.06","97131.18","101964.45","108342.62","120166.41","105388.57","86901.06","",
"East Asia & Pacific (excluding high income)","EAP","Total fisheries production (metric tons)","ER.FSH.PROD.MT","6032792","6338091","6648562","6982073","7408244","7873838","8399488","8698915","9293037","9697979","9740731","10656840","11538083","11719771","12066116","12480940","12893469","14451654","14996855","14551688","14898831","15554726","16521954","17617796.99","18601528.14","19962528.1","21908171.59","24279182.69","25645640.65","27401972.58","28063557.33","30562591.94","34853161.58","39588885.53","44547624.1","49684925.16","53700534.35","54333421.92","57343148.75","60425751.49","62676580.32","64400649.24","67385654.96","70553356.58","74735269.03","77963597.83","81301487.94","84444602.75","86991485.19","90473968.22","94425361.52","98017608.28","103503728.75","110462256.06","115195662.3","119115997.26","122010482.56","124548257.56","126080679.25","127817528.11","128356235.89","",
"Early-demographic dividend","EAR","Total fisheries production (metric tons)","ER.FSH.PROD.MT","8511414.01","10432403","12307191","12631322","15470944","14205673","15956111.01","17825513","18951306","17591384","20845139","19194001","13510787","11939109","14173179","13475545","14423988","13234729.99","14967545.01","15669633.01","15156344","15628000.58","16606768.64","14942689.33","17487600.45","19238375.7","21231438.22","21170617.61","23903408.44","24346272.31","24407288.65","25189147.76","26967417.99","29547162.97","33210459.84","31468612.61","32751550.06","31832135.88","28140430.37","33499112","36424753.62","35267234.74","36710033.64","35187842.83","40211351.9","41697805.24","41251976.74","42709183.21","44992354.3","45704283.05","46095721.52","51677320.52","51659921.81","56681938.19","57314346.61","60735929.19","61199316.87","63729421.47","68409104.95","66727739.68","67533117.02","",
"East Asia & Pacific","EAS","Total fisheries production (metric tons)","ER.FSH.PROD.MT","13062284","14012212","14554117","14813632","14984766","16068585","16946818","18149585","19683690","20077244","20898270","22654129","24236925","25281260","26012564","26299279","27171840","28911425.5","29514453","28995301","29913374","31222647.43","32124008.92","33924885.35","35952136.73","36849035.31","40099866.96","42121712.73","43797275.51","44897028.53","44834183.06","45848595.4","49883245.67","54140639.96","58465550.52","62991657.28","66694347.84","67534132.81","69465015.58","72460960.72","74090541.34","75642653.56","78290222.36","81749850.21","85428640.06","88848035.31","92356543.64","95992387.97","98333471.22","101202550.03","105051325.61","108287456.66","113762156.78","120636866.99","125663077","129313941.42","131602663.46","134565925.83","136215782.62","137881165.99","138182726.41","",
"Europe & Central Asia (excluding high income)","ECA","Total fisheries production (metric tons)","ER.FSH.PROD.MT","99160","92580","72600","140920","137850","159763","148431","238044","201062","261053","276442","269584","294504","256984","256477","289115","329164","311932","353249","446009","562412","587769","630335","690208","692741.09","692404.12","704305.13","752784.4","10512774.8","10222663.7","9417825.7","8324923","6789872.2","5579761","4853625","5586147.3","5841270.7","5739985.8","5672738.5","5428092.9","5218247","4748907.2","4367514.56","4367045.7","4068570.91","4282216","4429438.15","4778614.2","4614065.72","5011852.76","5289582.66","5475701.51","5485468.19","5556901.91","5350165.69","5674794.9","5907329.64","6185898.84","6508422.84","6720716.99","6793644.16","",
"Europe & Central Asia","ECS","Total fisheries production (metric tons)","ER.FSH.PROD.MT","8044825","8460059","8619266","9055794.1","9834731.1","11063136.4","11726667.8","12308386","12160498","11626619","12344735","12474677","12711191","12988080","13154573","12994022","13963438","13931136","13246258.1","13123373.7","13306337.9","13463841.65","13085405.1","13601789.62","14002010.66","13828030.45","13643433.13","13728730.56","25162287.56","24305654.6","22240823.87","21247987.85","20293257.48","18863670.27","18361247.61","19873456.35","20136482.3","20619223.69","19968515.48","19258205.59","19340823.39","19058179.42","18441899.6","17733115.04","17171259.23","16914955.59","16654358.05","16937730.73","16444341.06","16881505.2","17427734.02","17095840.16","16936712.15","17282086.27","17634556.52","18179095.57","17748317.9","19095350.48","19400959.6","18722722.01","18621734.41","",
"Ecuador","ECU","Total fisheries production (metric tons)","ER.FSH.PROD.MT","44300","38600","42500","49700","46300","53500","48200","57500","68900","64900","91020","102580","107040","152078","176500","215789","282793","425506","614512","605275","639542","539294","607927","372429","883405","1087676","1004271","680134","876024","682793","366643","437670","343511","374396","419344","614795","811854","671384","468138","629607","657800","645357","396805","494804","465447","602949","638648","579946","678793","718142","672594.8","818495","824536","841413","1024940","1059321.4","1160561.9","1107677","1178900","1303579.23","1409760.23","",
"Egypt, Arab Rep.","EGY","Total fisheries production (metric tons)","ER.FSH.PROD.MT","88500","92000","118000","115000","135000","102400","99000","80300","80500","80000","76758","84268","79209","87514","98344","106574","102764","104541","99915","137481","140397","141715.58","155732.64","157306.39","163839.54","215955.77","229153.98","231112.89","284328.79","293605.8","312952","346048","346296.8","354040.7","368204.6","407116.5","431572.4","457037.2","545594","648942","724408","771498","801459","876305","865030","889302","970925","1008008","1067631","1092889","1304795","1362175","1371911.7","1454402.09","1481883.08","1518944","1706274.33","1777824.17","1967517","2038991.34","2010579","",
"Euro area","EMU","Total fisheries production (metric tons)","ER.FSH.PROD.MT","3739271","3879934","3912547","4106339.1","4353357.1","4542945.4","4573952.8","4799127","4988743","4798191","4882357","4741552","4769804","4955491","4969241","4850306","4692406","4445984","4473232.1","4232441.7","4393861.9","4624267.65","4758353.1","4736871.62","4838445.57","4917893.33","4960921","4962693.16","6360911.76","6232186.9","5819968.17","5745246.85","5042067.2","5078856","5060158.6","5325761","5205094.6","5156803.4","5317583.9","5230944.5","5071982.15","5194595.1","4832072.5","4880635.3","4780505.2","4780671.5","4835883.77","4698436.9","4475054.01","4427229.31","4506081.17","4325693.04","4032059.84","4124192.06","4417610.42","4207162.03","4316559.75","4476044.64","4468817.6","4105356.43","3708857.23","",
"Eritrea","ERI","Total fisheries production (metric tons)","ER.FSH.PROD.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","475","2706","3559","3252","1038","1852.9","6997.05","12718","8894","7869","6711","7410","4027","8813","2232","1965","3330","3586","2939","3924.35","3616.68","3695.73","6230.8","3306.13","3929.59","5798.24","5640.4","5565","",
"Spain","ESP","Total fisheries production (metric tons)","ER.FSH.PROD.MT","913401","978920","1050006","1057655.1","1133309.1","1255355.4","1269533.8","1360394","1524502","1481900","1582266","1521038","1569839","1598054","1603741","1604441","1605359","1531484","1548919.4","1360031","1375641.5","1396653.5","1465325","1408215.5","1441851.5","1489514.8","1502394.6","1539932.6","1598886","1530990.7","1334995.2","1303615.3","1263181.4","1228232.6","1290760.3","1421688.1","1423196","1461464.2","1572775.3","1511503.6","1374604","1402388.3","1140940.5","1160665.4","1113719.8","1080311.1","1259927.3","1108294.5","1178738.14","1204009.67","1232197.25","1288679.03","1201010.83","1219605.16","1352829.5","1274628.92","1207664.35","1271884.54","1296358.1","1195759.34","1080966.29","",
"Estonia","EST","Total fisheries production (metric tons)","ER.FSH.PROD.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","397782","375454","346083","329213","129689","147515","124508","132891","108992","126317","121854","113312","113572","105959","102622","80580","88877","100136","87587","100216","103393","99157.6","96304.04","81968.34","67194.4","70187.21","69753.47","73993.7","76523.73","83690.46","87994.66","87816.97","75232.59","",
"Ethiopia","ETH","Total fisheries production (metric tons)","ER.FSH.PROD.MT","8300","8600","9100","9600","12000","15900","16200","16200","14600","14400","17200","19100","14800","4700","5900","3930","2970","2472","2515","2800","3507","3828","3750","3900","4300","4000","4100","4000","4067","4269","4981","4262","4607","4203","5318","6380","8808","10394","14014","15873","15696","15405","12315","9228","10030","9475","9915","13279","16795","17072","18083","24066","28990","38416.3","50204.5","45609.5","50095","56127","57331","59432","60536","",
"European Union","EUU","Total fisheries production (metric tons)","ER.FSH.PROD.MT","4809581","5038072","5236893","5589218.1","5937706.1","6135414.4","6170952.8","6671096","7313652","6909611","7047370","7088516","7199497","7431739","7967470","7951201","7894161","7422408","7259896.1","7069212.7","7632395.9","7702130.65","7948270.1","8018137.62","8072109.57","8007684.33","8087713","7969823.16","9664195.76","9347861.9","8291083.17","8447354.85","8049768.28","7623212.27","7951696.61","8377423.05","7782447.6","7859471.89","7713928.98","7408134.69","7348001.39","7429472.22","6969569.04","6566769.34","6527950.32","6302105.59","6328519.9","5947125.53","5764338.09","5862805.28","5957272.93","5660363.77","5117224.82","5453320.92","5800980.35","5759261.59","5686848.92","6115098.09","5982519.73","5409012.33","5112972.83","",
"Fragile and conflict affected situations","FCS","Total fisheries production (metric tons)","ER.FSH.PROD.MT","877103","879140","921986","932837","989511","1039002","1078303","1093114","1191316","1246251","1304726","1408721","1431572","1511695","1460672","1483302","1568975","1555937","1643369","1705577","1754839","1718128","1674741","1700315.24","1803906.92","1842896.71","1966368.32","1973915.78","3073881.97","3116955.69","3125495.36","2900810.77","2762095.72","2653421.72","2686812.61","3106980.07","2948569.5","3151109.92","3430665.04","3389571.52","3637744.72","3853047.74","4125929.22","4390258.38","4960151.95","5147419.93","5237945.96","5327998.23","5448076.51","5675163.22","5828562.17","5879234.12","6161061.6","6348488.22","6537210.66","6481172.74","6775882.24","7148960.73","7168714.59","7096410.46","6858211.13","",
"Finland","FIN","Total fisheries production (metric tons)","ER.FSH.PROD.MT","65500","67000","64900","80500","62900","73250","70990","74090","92800","87300","81699","91401","89003","100000","111778","111336","119459","117831","139166","133672","164900","155094","163952","175193","178894","179188","167430","166189","175631","165108","151535","138591","169662","173823","180951","184830","196738","196526","187713","176017","171828","165716","157434","134432","148243","146088","162337","177702","162105","168253","167869","164977","174980","181400","196421","197742","207293.17","205211.9","189364.09","179211.97","156180.9","",
"Fiji","FJI","Total fisheries production (metric tons)","ER.FSH.PROD.MT","3000","3000","3000","3200","3400","3500","3500","3500","3800","3800","3900","3900","4700","4700","4800","5036","5589","7935","9250","20243","20404","23608","24931","24227","25639","26870","35100.4","38670.5","34209","35520.3","39528.77","33011.38","27687.1","30646.03","30300","30507","26877","30086","33075.61","56066.02","49357","50033","41526","37631.8","50194.16","47951.5","50351","48077","47483","47057.03","42710.5","47553","47467","43010","44391","41954","45511","48095","44419.41","45280.87","43045.42","",
"France","FRA","Total fisheries production (metric tons)","ER.FSH.PROD.MT","762676","791620","761211","799299","807550","856899","902398","925307","938596","855694","858902","846574","854245","892060","884204","879330","861687","837277","860788.3","838058.3","859149.9","873521.88","860781.64","884173.47","870403.54","922169.4","960355.58","926785.48","968697.08","944719.4","955874.8","902400.5","918553.5","957508.5","984874.6","969245.3","928743.9","929721.5","878266.5","921896.8","961254.6","923560.7","953683","948639.7","907065.2","843407.8","832528.9","791136.7","738411.4","674201.3","655652.5","695668.22","678460.69","740921.02","738821.73","672078.84","743065.17","729279.11","794848.56","726995.52","657222.1","",
"Faroe Islands","FRO","Total fisheries production (metric tons)","ER.FSH.PROD.MT","109375","120220","144252","137830","138990","144686","166294","173324","166187","176296","207772","207279","208162","246286","246675","285698","342013","310592","316980","266845","275286","243788","250878","330345","347352","373958","352195","391042","365943","310970","286096","246599","267528","265046","253040","296407","322171","351683","384933","400906","489222","565076","582093","683737","645463","588715","641696","651533","564940","410313","441450","415429","437035","563049","629290","666186","651768","788758","739031","748203.8","735344.7","",
"Micronesia, Fed. Sts.","FSM","Total fisheries production (metric tons)","ER.FSH.PROD.MT","400","500","500","600","600","700","800","1000","1000","1000","1500","1500","1500","1500","1500","1500","1500","1503","1505","1505","1720","1720","1777","1777","1777","3649","3865","3767","2974","2267","2367","12552","16740","18168","22310","8082","8808","9781","15807","12589","23460","19471","22926","33753","31972","32361","15442","20873","25445","28606","31526","38142.06","48420.62","40972.1","52496","71567","88690","101418","137920.65","181769.51","193747.86","",
"Gabon","GAB","Total fisheries production (metric tons)","ER.FSH.PROD.MT","6000","6500","7000","7000","7000","8000","8000","8000","9000","9000","10000","10000","10000","12000","12000","14900","14820","14010","17800","21000","19800","20146","20605","19449","21002","20955","20226","22188","22093","20502","20002","22003","24005","31797","31043","40476","46175","44250","53912","51813","48384","42973","41653","45559","46152","43941","41647","37938","31450","29715","32822","36652","36548","36646","36900","33045","31050","29050","29055","29055","29060","",
"United Kingdom","GBR","Total fisheries production (metric tons)","ER.FSH.PROD.MT","1015201","953738","1003998","1007404","1034341","1115108","1138042","1101935","1115840","1162368","1172967","1204252","1169926","1213294","1172709","1065062","1125990","1079911","1115671","992599","895513","881047","915138","850643","845283","901415","860455","953345","948323","914948","821713","858108","875533","933772","969402","1011201","985986","1028751","1060640","995519","906963","939997","908023","825657","861698","843147","796532","793892","771695","787450.82","813992.85","800047.56","836921.22","858104.22","990311.87","928719.46","907756.54","953550.39","890720.28","853615.76","847043.25","",
"Georgia","GEO","Total fisheries production (metric tons)","ER.FSH.PROD.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","202628","148318","105181","60813","39145","18820","7641","3717","2554","2644","3097","1496","1877","1716","1863","3362","12060","10081","14896","44248","48865","50731","46899","27547","13225","16825","20515","24175","46513.69","139465.38","205905","254200.15","233176.9","",
"Ghana","GHA","Total fisheries production (metric tons)","ER.FSH.PROD.MT","33800","36500","45700","59800","76600","76500","85700","99000","74100","131000","171611","232784","281331","221832","219327","261590","246820","272171","274887","237252","231855","240816","244492","251856","270013","276573","320177","382200","362477","362005","396232","362948","423855","373084","335937","353394","477294","447527","447341","499670","459346","456353","381182","394485","421624.4","382791.89","380912.99","331114.01","341288.14","311738","361658.65","368852.3","383796.57","322464.74","362130.15","388935.91","376556.57","425593.76","449825.27","370365.72","420371.01","",
"Gibraltar","GIB","Total fisheries production (metric tons)","ER.FSH.PROD.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Total fisheries production (metric tons)","ER.FSH.PROD.MT","4000","4000","4000","4000","5000","5000","5000","6000","6000","6000","6000","8300","8300","9500","12100","13370","9920","9120","10000","18453","20000","22000","24000","26000","28003","30003","33002","35002","38001","41001","44001","49501","55005","60605","63805","67864","63364","62441","69764","87314","91513","105404","93756","121927","97732","109238","104828","82183","94683","127923","113689","185149.2","198574.5","230371.8","207699","185061","159879.8","321741.9","293693.6","360643.2","310705","",
"Gambia, The","GMB","Total fisheries production (metric tons)","ER.FSH.PROD.MT","4500","4800","5300","5300","5300","6200","6200","6200","6700","6700","7447","7739","7884","12294","12695","12695","12695","18092","14972","11143","13265","14739","9212","11653","11882","10712","13262","14642","13852","19842","21662","24985","18045","21308","22781","23699","31605","32747","29037","32643","29021","34532","37410","37371","32822","34960","37552","43599","42906","45909","46649","41533","36095","43759","51535","56003","58296","60496","49559","56231.66","51022.79","",
"Guinea-Bissau","GNB","Total fisheries production (metric tons)","ER.FSH.PROD.MT","700","700","600","600","800","900","700","700","1300","1400","1500","1400","1700","1700","1700","1669","3575","4275","4283","2936","4166","3643","3977","2671","2751","3743","3700","4100","4690","5400","5400","5000","5200","5350","6000","6328","7000","7200","6700","6200","6315","6848","7324","6153","6650","6983","7067","6500","6804","6721","6584","6549","8750","11750","15750","21150","28460","38375","52278.67","60155","62392.45","",
"Equatorial Guinea","GNQ","Total fisheries production (metric tons)","ER.FSH.PROD.MT","900","500","800","1000","1000","600","1200","1100","3700","3500","4000","4000","4000","4000","4000","4000","4000","4000","4000","4000","2500","2500","2019","2341","4000","3600","4400","4000","4000","4000","3700","3500","3600","3507","5069","2306","5040","6090","6005","7001","3634","3600","3550","3550","3500","3750","4002","4535","5402","7672","7391","7132","7849","6941.15","6082.92","6438.26","6467.29","6395","6424.84","6435.72","6057.46","",
"Greece","GRC","Total fisheries production (metric tons)","ER.FSH.PROD.MT","87430","85390","80490","80550","84130","90320","91630","94000","100760","95150","86139","95139","93129","104576","93678","96456","107574","108571","102697","105154","107614","103525.18","106747.8","102107.4","108540.8","114961.9","124848","134743.4","123686.3","136534.5","141904","151259.9","172917.8","191678.5","214306.9","184360.5","190903.2","205816.1","170072.4","204865.75","194761.7","191708.4","184006.9","195215.4","191034.4","198638.5","211623.7","209392.8","200953.3","205192.8","191423.8","174055.59","172017.67","178169.62","164836.29","172588.4","200277.4","203707.7","209601.47","211993.8","203213.36","",
"Grenada","GRD","Total fisheries production (metric tons)","ER.FSH.PROD.MT","300","500","900","700","1100","1300","1200","1300","1300","1400","1300","1500","1700","1700","1634","1700","1700","2958","2238","1491","1419","788","982","1479","1555","1727","2296","2214","2092","1782","1911","2071","2115","2212","1599","1499","1577","1530","1837","1829","1705","2250","2171","2544","2039","2048","2163","2207","2386","2648","2182","2411.47","2379.63","2856.67","2665","2394.58","2712.64","2400.84","2523.84","1995.23","1835.08","",
"Greenland","GRL","Total fisheries production (metric tons)","ER.FSH.PROD.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Total fisheries production (metric tons)","ER.FSH.PROD.MT","1000","1300","2100","2500","2700","2100","3000","2500","1900","3000","3400","3300","3100","3700","3881","4530","3653","3074","5504","4898","3507","4273","4293","2388","3024","3166","2647","3077","3725","4327","7798","7344","7813","10868","11604","11928","11074","11303","13971","25868","43166","34804","31405","30042","14920","27987","33862","34365","42018","36772","45124.23","41312.51","33034.25","37448.39","39470.6","37401.36","39430.77","41735.61","42392.54","46713.96","44927.37","",
"Guam","GUM","Total fisheries production (metric tons)","ER.FSH.PROD.MT","100","100","100","100","100","100","100","100","100","100","100","100","100","100","91","131","95","184","200","164","257","326","444","327","395","518","567","500","593","550","688","690","575","599","613","482","480","491","575","554","856","905","668","616","692","440","580","488","491","602.5","296.77","231.49","212.48","218.68","197.41","181.62","179.8","262.42","207.85","205.2","162.35","",
"Guyana","GUY","Total fisheries production (metric tons)","ER.FSH.PROD.MT","5700","7400","7900","9200","10400","12000","12300","13900","16000","16600","17400","15500","17600","19000","23617","20123","20956","31907","35978","35288","31530","32798","32794","35380","37256","37606","37395","36785","36523","35339","36922","40806","41337","44263","46577","48130","48833","54268","53140","54450","49492","54013","48625","60303","57327","53978","54423","48108","42460","44115.96","45675.6","43448.1","54105.18","49488.65","38113.49","36975.64","42478.7","43673.27","41694.76","39330.02","40124.53","",
"High income","HIC","Total fisheries production (metric tons)","ER.FSH.PROD.MT","19227798","20637148","21406209","21690619.1","22500578.1","24076392.4","25714912.8","26612361","28051999","27048824","29098479","30423042","30416966","31562256","32555187","32095098","34334629","34566716.5","34977747.1","35555784.7","36503632.9","37968713.95","38050510.1","39784819.24","42255006.47","42270317.88","44211806.27","44115921.23","46557255.24","46406388.79","43243968.52","42177042.01","42867581.29","41917810.38","43289691.61","42777623.65","41646192.24","41821615.37","37406614.5","38695389.02","37676372.01","37780862.04","37728437.14","36798234.97","37645284.25","36710303.62","36225789.1","36021595.95","34833266.27","34010442.38","33363997.87","33766636.73","33149258.57","32629436.38","33845127.87","33336143.83","31686854.67","34125288.89","34316712.37","33518080.02","32493395.66","",
"Hong Kong SAR, China","HKG","Total fisheries production (metric tons)","ER.FSH.PROD.MT","50450","54865","59480","61000","63820","66860","64550","68129","112182","117460","136337","128074","135397","128506","142471","151186","157256","158739","162943","189932","194684","182511","181167","189282","200392","198196","213557","228102","238168","242514","234495","230912","229516","226844","219976","203570","192274","194310","186439","133832","162000","179599","174092","162301","172159","166094","158661","158661","162880","163784","172348","174158","159323","173893","164686","149087","147033","131726","128432","126716.1","123262.7","",
"Honduras","HND","Total fisheries production (metric tons)","ER.FSH.PROD.MT","1700","2550","2550","2550","3400","4050","2600","4000","5700","5450","5000","5700","5750","4450","3863","5014","4643","5947","6804","8858","6636","6422","8130","11599","10052","11650","23173","28023","23424","20781","19541","31552","29670","33161","23327","32982","31555","33252","23548","31358","27968","35678","32746","40890","44605","70388","77902","71325","61240","41266","39584","61476","64634","64949","70389","65859","64600","75300","76300","80012","86969.92","",
"Heavily indebted poor countries (HIPC)","HPC","Total fisheries production (metric tons)","ER.FSH.PROD.MT","740300","767850","822250","878750","969200","1030850","1091900","1177976","1247176","1348954","1462076","1541626","1639544","1676130","1692156","1779947","1763808","1891082","1838157","1759324","1777886","1758996","1766766","1839290.1","1974860","1977513","2142413","2295899.9","2319130.21","2369660.93","2518603.2","2395422.75","2607596.31","2548499.36","2412507.08","2642467","2811625.8","2872527.17","2783402.79","2913511.56","3018445","3062311.24","2991491.5","3261446.25","3405924.58","3430292.54","3375998.69","3533593.21","3558349.89","3691631.31","3829188.94","4011142.15","4152181.92","4202080.42","4333484.03","4399269.2","4509963.29","4978744.89","4999845.34","5297954.12","5234213.82","",
"Croatia","HRV","Total fisheries production (metric tons)","ER.FSH.PROD.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33534.08","31233.27","22422.01","20275.05","21126","20551.49","27935.08","25222.19","27944.24","29019.12","30330.54","29462.04","43006.12","48535.09","56723.13","56360.63","64791.08","72117.05","68545.81","86000.06","75611.28","89552.55","94137.88","90819.84","90570.79","87054.8","90238.31","85024.38","93343.36","",
"Haiti","HTI","Total fisheries production (metric tons)","ER.FSH.PROD.MT","3000","3000","3000","3100","3300","3400","3400","3500","3500","3500","4000","4000","4000","4000","4000","4000","4000","4150","4300","4500","5000","5500","6000","6502.1","6901","6400","6000","5767.9","5517.9","5517.9","5167","5216","5016","5615","5215","5514","6014","6313","6610","7010","7422","7822","8122","8322","9692","11042","12292","13672","14972","16235","14070","17130","17230","17310","17520","17730","17800","17910","17780","17910","17910","",
"Hungary","HUN","Total fisheries production (metric tons)","ER.FSH.PROD.MT","14900","19300","21000","22000","22700","24800","26600","28200","29900","27800","26000","25800","28900","29100","30159","30788","31855","34661","32589","32838","33733","39319","42152","44037","39177","36927","36062","36759","38294","35517","33834","22879","22908","17378","18206","16674","15686","16740","17487","19461","19987","19694","18324","18406","19986","21270","22229","22888","23081","21191","20461","22632","21850","21390","22789","23263","21295.97","23864.5","23086.3","22099.31","23779.75","",
"IBRD only","IBD","Total fisheries production (metric tons)","ER.FSH.PROD.MT","12916683.01","15018660","17398591","18070368","21779021","20254184","23113149.01","24859155","26773057","25510177","28813872","28044893","22630330","21162526","23956980","23334440","24847623","24836314.99","27147424.91","28104657.81","28072937.1","29404601.08","31381709.64","31080466.39","34832813.97","37906746.22","42116071.72","42831128.84","56820930.85","59580219.51","58167245.87","60839447.23","65295064.49","70316105.34","80258855.91","83867971.41","88520877.13","87179386","83250770.37","92128690.3","96119331.77","95088013.21","98722393.95","98531437.71","107180942.93","110031447.65","111325444.8","114564417.11","118440076.62","121588141.83","122822359.41","130720105.49","133951739.85","141326956.77","145190937.46","150376876.05","153193896.86","158109334.44","164215185.29","164920356.42","166820354.38","",
"IDA & IBRD total","IBT","Total fisheries production (metric tons)","ER.FSH.PROD.MT","14676040.01","16860876","19366618","20107481","23998479","22619641","25605914.01","27479465","29534496","28408040","31936989","31434047","26265525","24898604","27648668","26974008","28556394","28739812.99","31031279.91","31945080.81","31922760.1","33330735.08","35360001.64","35251431.63","39214081.11","42409806.33","46938756.44","47830423.12","61972229.13","64853796.53","63753078.24","66388579.23","71120340.62","76198598.45","86046552.6","90104735.22","94814241.18","94012223.75","90334524.49","99866031.24","104217605.4","103612806.01","107538747.74","107912387.54","117419932.61","120760104.09","122530770.69","126003467.34","130078271.71","133891450.56","135657558.29","144012105.72","147796312.81","155596790.89","160054440.89","165438116.24","168752771.27","174696120.31","180965499.4","182003945.84","183891163.05","",
"IDA total","IDA","Total fisheries production (metric tons)","ER.FSH.PROD.MT","1759357","1842216","1968027","2037113","2219458","2365457","2492765","2620310","2761439","2897863","3123117","3389154","3635195","3736078","3691688","3639568","3708771","3903498","3883855","3840423","3849823","3926134","3978292","4170965.24","4381267.14","4503060.11","4822684.72","4999294.28","5151298.28","5273577.02","5585832.37","5549132","5825276.13","5882493.11","5787696.69","6236763.81","6293364.05","6832837.75","7083754.12","7737340.94","8098273.63","8524792.8","8816353.79","9380949.83","10238989.68","10728656.44","11205325.89","11439050.23","11638195.09","12303308.73","12835198.88","13292000.23","13844572.96","14269834.12","14863503.43","15061240.19","15558874.41","16586785.87","16750314.11","17083589.42","17070808.67","",
"IDA blend","IDB","Total fisheries production (metric tons)","ER.FSH.PROD.MT","237907","237516","257817","276323","316668","346837","407712","420745","428914","446059","497190","591277","636622","675429","629273","629940","679767","726655","772029","798578","775702","823635","842111","893142","909844","948541","1005875.4","1013010.5","1089963","1129247.3","1239567.81","1214698.48","1243122.1","1267887.72","1252478.31","1338235.4","1318987.8","1429728.09","1590589.74","1672199.78","1678661.29","1658136.2","1709322.74","1660590.36","1805458.6","1853157.96","2026309.94","1942172.54","2079271.55","2110794.11","2205858.35","2318415.89","2402035.14","2540523.27","2696908.42","2618135.57","2728396.41","2969769.96","2907129.86","2802868.76","2680592.91","",
"Indonesia","IDN","Total fisheries production (metric tons)","ER.FSH.PROD.MT","761700","914800","947200","939200","1004000","1074800","1241600","1198400","1180000","1234800","1257200","1273302","1296804","1294441","1361942","1376566","1486511","1587817","1668158","1770087","1877956","1946989","2026589","2248468","2313091","2452695","2607764","2742804","2947009","3087137","3243345","3413930","3627251","3919996","4144434","4388520","4648537","4695769","4760318","4893860.5","5152261.6","5412689","5541952","5927292","6208250","6827210","7277661","8179552","8857709","9828602.53","11668385.49","13696745.54","15464174.18","19443818.04","20903925.13","22384950.27","22583433.92","23197681.29","23186192.67","22760945.46","21834396.24","",
