Country,Location,Site,Latitude,Longitude,Depth,Zone,Protected,Year,Month,Remarks,Method,Replicate,Programme,Surveyor,Publication,Benthic_length_m,Benthic_area_m2,Fish_area_m2,Invertebrate_area_m2,Hardcoral_percent,Softcoral_percent,Reckilledcoral_percent,Macroalgae_percent,Corallinealgae_percent,Other_percent,Chaetodontidae_no,Haemulidae_no,Lutjanidae_no,Serranidae_no,Labridae_no,Scaridae_no,Muraenidae_no,Diadema_no,Acanthaster_no,Tridacnidae_no
Indonesia,North_Maluku Guraici,Taneti_1,"0° 4' 38,600"" S","127° 14' 30,300"" E",3,NA,MPA,2017,4,NA,Point_intercept_transect,1,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,30,3,24,0,0,43,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Taneti_1,"0° 4' 38,600"" S","127° 14' 30,300"" E",3,NA,MPA,2017,4,NA,Point_intercept_transect,2,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,51,4,21,1,0,23,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Taneti_1,"0° 4' 38,600"" S","127° 14' 30,300"" E",3,NA,MPA,2017,4,NA,Point_intercept_transect,3,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,43,9,23,0,0,25,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Taneti_2,"0° 4' 28,048"" S","127° 16' 20,444"" E",8,NA,MPA,2017,3,NA,Point_intercept_transect,1,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,30,5,14,0,0,51,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Taneti_2,"0° 4' 28,048"" S","127° 16' 20,444"" E",8,NA,MPA,2017,3,NA,Point_intercept_transect,2,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,22,4,6,0,0,68,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Taneti_2,"0° 4' 28,048"" S","127° 16' 20,444"" E",8,NA,MPA,2017,3,NA,Point_intercept_transect,3,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,25,5,10,0,0,60,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Taneti_2,"0° 4' 28,048"" S","127° 16' 20,444"" E",3,NA,MPA,2017,3,NA,Point_intercept_transect,1,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,53,5,8,0,0,34,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Taneti_2,"0° 4' 28,048"" S","127° 16' 20,444"" E",3,NA,MPA,2017,3,NA,Point_intercept_transect,2,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,45,7,9,0,0,39,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Taneti_2,"0° 4' 28,048"" S","127° 16' 20,444"" E",3,NA,MPA,2017,3,NA,Point_intercept_transect,3,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,40,9,13,2,0,36,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Tanjung_Lepa,"0° 0' 45,800"" S","127° 11' 37,900"" E",10,NA,MPA,2017,3,NA,Point_intercept_transect,1,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,15,11,11,0,0,63,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Tanjung_Lepa,"0° 0' 45,800"" S","127° 11' 37,900"" E",10,NA,MPA,2017,3,NA,Point_intercept_transect,2,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,15,10,23,5,0,47,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Tanjung_Lepa,"0° 0' 45,800"" S","127° 11' 37,900"" E",10,NA,MPA,2017,3,NA,Point_intercept_transect,3,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,35,13,16,5,0,31,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Tanjung_Lepa,"0° 0' 45,800"" S","127° 11' 37,900"" E",3,NA,MPA,2017,3,NA,Point_intercept_transect,1,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,53,14,9,0,0,24,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Tanjung_Lepa,"0° 0' 45,800"" S","127° 11' 37,900"" E",3,NA,MPA,2017,3,NA,Point_intercept_transect,2,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,46,3,38,0,0,13,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Tanjung_Lepa,"0° 0' 45,800"" S","127° 11' 37,900"" E",3,NA,MPA,2017,3,NA,Point_intercept_transect,3,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,43,1,50,1,0,5,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Tanjung_Marikoko,"0° 1' 0,400"" S","127° 9' 53,700"" E",9,NA,MPA,2017,3,NA,Point_intercept_transect,1,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,23,13,10,1,0,53,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Tanjung_Marikoko,"0° 1' 0,400"" S","127° 9' 53,700"" E",9,NA,MPA,2017,3,NA,Point_intercept_transect,2,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,11,11,14,0,0,64,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Tanjung_Marikoko,"0° 1' 0,400"" S","127° 9' 53,700"" E",9,NA,MPA,2017,3,NA,Point_intercept_transect,3,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,11,6,8,0,0,75,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Tanjung_Marikoko,"0° 1' 0,400"" S","127° 9' 53,700"" E",3,NA,MPA,2017,3,NA,Point_intercept_transect,1,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,48,4,32,0,0,16,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Tanjung_Marikoko,"0° 1' 0,400"" S","127° 9' 53,700"" E",3,NA,MPA,2017,3,NA,Point_intercept_transect,2,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,67,13,14,0,0,6,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Tanjung_Marikoko,"0° 1' 0,400"" S","127° 9' 53,700"" E",3,NA,MPA,2017,3,NA,Point_intercept_transect,3,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,52,13,5,0,0,30,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,West_Taneti,"0° 7' 56,334"" S","127° 12' 48,719"" E",8,NA,MPA,2017,3,NA,Point_intercept_transect,1,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,71,1,4,0,0,24,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,West_Taneti,"0° 7' 56,334"" S","127° 12' 48,719"" E",8,NA,MPA,2017,3,NA,Point_intercept_transect,2,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,76,0,6,0,0,18,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,West_Taneti,"0° 7' 56,334"" S","127° 12' 48,719"" E",8,NA,MPA,2017,3,NA,Point_intercept_transect,3,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,80,0,2,0,0,18,,,,,,,,NA,NA,NA
