Country,Location,Site,Latitude,Longitude,Depth,Zone,Protected,Year,Month,Remarks,Method,Replicate,Programme,Surveyor,Publication,Fish_area_m2,Chaetodontidae_no,Haemulidae_no,Lutjanidae_no,Serranidae_no,Labridae_no,Scaridae_no,Muraenidae_no
Indonesia,North Maluku _Guraici,Gunange,"0° 2' 1,600"" N","127° 13' 43,800"" E",3,Fringing,MPA,2017,4,NA,Underwater_Visual_Census,3,SEA_Project,SEA_Project_WCS,NA,250,600,0,120,0,120,120,0
Indonesia,North Maluku _Guraici,Gunange,"0° 2' 1,600"" N","127° 13' 43,800"" E",8,Fringing,MPA,2017,4,NA,Underwater_Visual_Census,1,SEA_Project,SEA_Project_WCS,NA,250,560,0,0,0,200,0,0
Indonesia,North Maluku _Guraici,Gunange,"0° 2' 1,600"" N","127° 13' 43,800"" E",8,Fringing,MPA,2017,4,NA,Underwater_Visual_Census,2,SEA_Project,SEA_Project_WCS,NA,250,240,0,0,0,1480,0,0
Indonesia,North Maluku _Guraici,Gunange,"0° 2' 1,600"" N","127° 13' 43,800"" E",8,Fringing,MPA,2017,4,NA,Underwater_Visual_Census,3,SEA_Project,SEA_Project_WCS,NA,250,80,0,0,0,0,0,0
Indonesia,North Maluku _Guraici,Guraici,"0° 1' 35,200"" S","127° 14' 18,200"" E",3,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,1,SEA_Project,SEA_Project_WCS,NA,100,500,0,0,0,8300,0,0
Indonesia,North Maluku _Guraici,Guraici,"0° 1' 35,200"" S","127° 14' 18,200"" E",3,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,2,SEA_Project,SEA_Project_WCS,NA,100,0,0,0,0,30000,0,0
Indonesia,North Maluku _Guraici,Guraici,"0° 1' 35,200"" S","127° 14' 18,200"" E",3,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,3,SEA_Project,SEA_Project_WCS,NA,100,400,0,0,0,10900,0,0
Indonesia,North Maluku _Guraici,Guraici,"0° 1' 35,200"" S","127° 14' 18,200"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,1,SEA_Project,SEA_Project_WCS,NA,100,300,0,0,0,4700,0,0
Indonesia,North Maluku _Guraici,Guraici,"0° 1' 35,200"" S","127° 14' 18,200"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,2,SEA_Project,SEA_Project_WCS,NA,100,500,0,0,0,8000,0,0
Indonesia,North Maluku _Guraici,Guraici,"0° 1' 35,200"" S","127° 14' 18,200"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,3,SEA_Project,SEA_Project_WCS,NA,100,600,0,0,0,200,0,0
Indonesia,North Maluku _Guraici,Guraici,"0° 1' 35,200"" S","127° 14' 18,200"" E",3,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,1,SEA_Project,SEA_Project_WCS,NA,250,520,80,0,0,880,200,0
Indonesia,North Maluku _Guraici,Guraici,"0° 1' 35,200"" S","127° 14' 18,200"" E",3,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,2,SEA_Project,SEA_Project_WCS,NA,250,280,0,0,0,3840,240,0
Indonesia,North Maluku _Guraici,Guraici,"0° 1' 35,200"" S","127° 14' 18,200"" E",3,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,3,SEA_Project,SEA_Project_WCS,NA,250,160,0,0,0,720,0,0
Indonesia,North Maluku _Guraici,Guraici,"0° 1' 35,200"" S","127° 14' 18,200"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,1,SEA_Project,SEA_Project_WCS,NA,250,440,0,0,0,360,120,0
Indonesia,North Maluku _Guraici,Guraici,"0° 1' 35,200"" S","127° 14' 18,200"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,2,SEA_Project,SEA_Project_WCS,NA,250,440,0,80,0,520,0,0
Indonesia,North Maluku _Guraici,Guraici,"0° 1' 35,200"" S","127° 14' 18,200"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,3,SEA_Project,SEA_Project_WCS,NA,250,160,40,0,0,120,80,0
Indonesia,North Maluku _Guraici,Legoma,"0° 8' 37,700"" N","127° 12' 33,600"" E",3,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,1,SEA_Project,SEA_Project_WCS,NA,100,0,0,0,0,9000,0,0
Indonesia,North Maluku _Guraici,Legoma,"0° 8' 37,700"" N","127° 12' 33,600"" E",3,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,2,SEA_Project,SEA_Project_WCS,NA,100,0,0,0,0,4600,0,0
Indonesia,North Maluku _Guraici,Legoma,"0° 8' 37,700"" N","127° 12' 33,600"" E",3,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,3,SEA_Project,SEA_Project_WCS,NA,100,0,0,0,0,6900,0,0
Indonesia,North Maluku _Guraici,Legoma,"0° 8' 37,700"" N","127° 12' 33,600"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,1,SEA_Project,SEA_Project_WCS,NA,100,0,0,0,0,3700,0,0
Indonesia,North Maluku _Guraici,Legoma,"0° 8' 37,700"" N","127° 12' 33,600"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,2,SEA_Project,SEA_Project_WCS,NA,100,0,0,0,0,11800,0,0
