site_name,latitude,longitude,sample_date_year,sample_date_month,sample_date_day,reef_exposure,reef_type,reef_zone,depth_avg,percent_cover_by_benthic_category_avg
Tanjung Lemu,-5.83365,110.48852,2019,3,31,semi-exposed,fringing,back reef,4.5,"{'Sand': 0.0, 'Other': 0.0, 'Rubble': 34.0, 'Seagrass': 0.0, 'Hard coral': 49.0, 'Macroalgae': 0.5, 'Soft coral': 1.0, 'Turf algae': 14.13, 'Cyanobacteria': 0.0, 'Bare substrate': 0.0, 'Other invertebrates': 1.38, 'Crustose coralline algae': 0.0}"
Tanjung Sekoci,-5.85771,110.46753,2019,3,25,semi-exposed,fringing,back reef,4.5,"{'Sand': 2.5, 'Other': 0.0, 'Rubble': 14.0, 'Seagrass': 0.0, 'Hard coral': 52.75, 'Macroalgae': 4.63, 'Soft coral': 1.25, 'Turf algae': 22.5, 'Cyanobacteria': 0.0, 'Bare substrate': 0.0, 'Other invertebrates': 2.38, 'Crustose coralline algae': 0.0}"
Tengah,-5.80877,110.51163,2019,3,30,exposed,fringing,fore reef,5,"{'Sand': 0.75, 'Other': 0.0, 'Rubble': 37.5, 'Seagrass': 0.0, 'Hard coral': 35.0, 'Macroalgae': 4.25, 'Soft coral': 1.5, 'Turf algae': 18.75, 'Cyanobacteria': 0.0, 'Bare substrate': 0.25, 'Other invertebrates': 2.0, 'Crustose coralline algae': 0.0}"
KAPUN2,-5.18717,122.73701,2021,3,30,exposed,fringing,channel,6,"{'Sand': 2.67, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 68.67, 'Macroalgae': 0.0, 'Soft coral': 0.0, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 28.0, 'Other invertebrates': 0.67, 'Crustose coralline algae': 0.0}"
KAPUN3,-5.20359,122.72163,2021,3,30,exposed,fringing,channel,7.33,"{'Sand': 0.0, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 30.33, 'Macroalgae': 0.0, 'Soft coral': 0.0, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 69.33, 'Other invertebrates': 0.33, 'Crustose coralline algae': 0.0}"
KAPUN4,-5.25015,122.70133,2021,3,29,exposed,fringing,channel,5,"{'Sand': 19.67, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 62.0, 'Macroalgae': 0.0, 'Soft coral': 0.0, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 15.67, 'Other invertebrates': 2.67, 'Crustose coralline algae': 0.0}"
KAPUN6,-5.28555,122.68118,2021,3,29,exposed,fringing,channel,5,"{'Sand': 14.67, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 55.67, 'Macroalgae': 0.0, 'Soft coral': 1.67, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 22.33, 'Other invertebrates': 5.67, 'Crustose coralline algae': 0.0}"
KAPUN7,-5.23989,122.73993,2021,3,30,exposed,fringing,channel,3,"{'Sand': 62.33, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 29.0, 'Macroalgae': 0.0, 'Soft coral': 0.0, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 8.67, 'Other invertebrates': 0.0, 'Crustose coralline algae': 0.0}"
KAPUN8,-5.16226,122.74267,2021,3,30,exposed,fringing,channel,7,"{'Sand': 1.0, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 88.67, 'Macroalgae': 0.0, 'Soft coral': 0.0, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 9.67, 'Other invertebrates': 0.67, 'Crustose coralline algae': 0.0}"
KULIS1,-4.81342,123.12096,2021,4,11,exposed,fringing,fore reef,6,"{'Sand': 2.67, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 60.67, 'Macroalgae': 8.67, 'Soft coral': 2.33, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 25.67, 'Other invertebrates': 0.0, 'Crustose coralline algae': 0.0}"
